path, href
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s136a.html#building_code
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s17.html#certifier
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7a.html#site_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7a.html#site_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7a.html#site_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/ba200491/s42.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/ba200491/s62.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/ba200491/s43.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s8.html#structure
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/ba200491/s74.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s79.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s6.html#building_work
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BUILDING ACT 2004/index.html, s7.html#building
